"user_id","email","'password'","first_name","last_name","middle_name","is_staft","country","city","adress","phone_number","carts_id","users_user_id","subtotal","total","'timestamp'","order_id","carts_cart_id","order_status_order_status_id","shipping_total","total-2","created_at","updated_at","order_status_id","status_name","carts_cart_id-2","products_product_id","product_id","product_title","product_description","in_stock","price","slug","category_id","category_id-2","category_title","category_description"
373,"email373@gmail.com","77263857575","first_name 373","last_name 373","middle_name 373",0,"country 373","city 373","address 373",NULL,373,373,610.0,610.0,"2021-03-13 07:53:44",373,373,2,60,610.0,"2020-11-19 00:00:00","2018-09-23 00:00:00",2,"In progress",373,1,1,"Product 1","Product description 1",45,71.18,"Product-1",4,4,"Category 4","Category 4 description."
362,"email362@gmail.com","153233161182","first_name 362","last_name 362","middle_name 362",0,"country 362","city 362","address 362",NULL,362,362,914.43,914.43,"2021-03-13 07:53:44",362,362,4,60,914.43,"2020-10-19 00:00:00","2018-06-07 00:00:00",4,"Finished",362,2,2,"Product 2","Product description 2",14,29.99,"Product-2",4,4,"Category 4","Category 4 description."
1460,"email1460@gmail.com","101849720351","first_name 1460","last_name 1460","middle_name 1460",0,"country 1460","city 1460","address 1460",NULL,1460,1460,1182.91,1182.91,"2021-03-13 07:53:44",1460,1460,3,60,1182.91,"2020-12-04 00:00:00","2017-10-06 00:00:00",3,"Paid",1460,8,8,"Product 8","Product description 8",2,168.95,"Product-8",11,11,"Category 11","Category 11 description."
851,"email851@gmail.com","61402612638","first_name 851","last_name 851","middle_name 851",0,"country 851","city 851","address 851",NULL,851,851,965.13,965.13,"2021-03-13 07:53:44",851,851,1,60,965.13,"2020-10-24 00:00:00","2017-03-28 00:00:00",1,"Accepted",851,16,16,"Product 16","Product description 16",0,32.03,"Product-16",5,5,"Category 5","Category 5 description."
1189,"email1189@gmail.com","15430693555","first_name 1189","last_name 1189","middle_name 1189",0,"country 1189","city 1189","address 1189",NULL,1189,1189,1141.99,1141.99,"2021-03-13 07:53:44",1189,1189,5,60,1141.99,"2020-12-10 00:00:00","2017-01-27 00:00:00",5,"Canceled",1189,25,25,"Product 25","Product description 25",24,113.46,"Product-25",18,18,"Category 18","Category 18 description."
1273,"email1273@gmail.com","150398594533","first_name 1273","last_name 1273","middle_name 1273",0,"country 1273","city 1273","address 1273",NULL,1273,1273,847.48,847.48,"2021-03-13 07:53:44",1273,1273,2,60,847.48,"2020-12-03 00:00:00","2018-02-19 00:00:00",2,"In progress",1273,27,27,"Product 27","Product description 27",11,20.85,"Product-27",18,18,"Category 18","Category 18 description."
736,"email736@gmail.com","91086437018","first_name 736","last_name 736","middle_name 736",0,"country 736","city 736","address 736",NULL,736,736,1314.68,1314.68,"2021-03-13 07:53:44",736,736,5,60,1314.68,"2020-11-07 00:00:00","2018-06-11 00:00:00",5,"Canceled",736,30,30,"Product 30","Product description 30",25,169.04,"Product-30",18,18,"Category 18","Category 18 description."
845,"email845@gmail.com","36536144207","first_name 845","last_name 845","middle_name 845",0,"country 845","city 845","address 845",NULL,845,845,276.79,276.79,"2021-03-13 07:53:44",845,845,1,60,276.79,"2020-12-03 00:00:00","2020-11-10 00:00:00",1,"Accepted",845,33,33,"Product 33","Product description 33",30,19.81,"Product-33",8,8,"Category 8","Category 8 description."
965,"email965@gmail.com","106948729096","first_name 965","last_name 965","middle_name 965",0,"country 965","city 965","address 965",NULL,965,965,716.5,716.5,"2021-03-13 07:53:44",965,965,1,60,716.5,"2020-10-05 00:00:00","2020-03-15 00:00:00",1,"Accepted",965,51,51,"Product 51","Product description 51",35,66.51,"Product-51",13,13,"Category 13","Category 13 description."
232,"email232@gmail.com","99191794116","first_name 232","last_name 232","middle_name 232",0,"country 232","city 232","address 232",NULL,232,232,499.0,499.0,"2021-03-13 07:53:44",232,232,5,60,499.0,"2020-12-14 00:00:00","2017-11-03 00:00:00",5,"Canceled",232,69,69,"Product 69","Product description 69",27,197.74,"Product-69",8,8,"Category 8","Category 8 description."
449,"email449@gmail.com","6083814034","first_name 449","last_name 449","middle_name 449",1,"country 449","city 449","address 449",NULL,449,449,310.47,310.47,"2021-03-13 07:53:44",449,449,2,60,310.47,"2020-12-19 00:00:00","2019-04-16 00:00:00",2,"In progress",449,76,76,"Product 76","Product description 76",12,163.57,"Product-76",10,10,"Category 10","Category 10 description."
209,"email209@gmail.com","132391947556","first_name 209","last_name 209","middle_name 209",0,"country 209","city 209","address 209",NULL,209,209,929.83,929.83,"2021-03-13 07:53:44",209,209,1,60,929.83,"2020-11-08 00:00:00","2018-09-17 00:00:00",1,"Accepted",209,76,76,"Product 76","Product description 76",12,163.57,"Product-76",10,10,"Category 10","Category 10 description."
930,"email930@gmail.com","122241830378","first_name 930","last_name 930","middle_name 930",0,"country 930","city 930","address 930",NULL,930,930,1115.56,1115.56,"2021-03-13 07:53:44",930,930,1,60,1115.56,"2020-12-16 00:00:00","2017-07-18 00:00:00",1,"Accepted",930,81,81,"Product 81","Product description 81",31,198.67,"Product-81",17,17,"Category 17","Category 17 description."
736,"email736@gmail.com","91086437018","first_name 736","last_name 736","middle_name 736",0,"country 736","city 736","address 736",NULL,736,736,1314.68,1314.68,"2021-03-13 07:53:44",736,736,5,60,1314.68,"2020-11-07 00:00:00","2018-06-11 00:00:00",5,"Canceled",736,87,87,"Product 87","Product description 87",26,172.02,"Product-87",10,10,"Category 10","Category 10 description."
243,"email243@gmail.com","30490806144","first_name 243","last_name 243","middle_name 243",1,"country 243","city 243","address 243",NULL,243,243,731.73,731.73,"2021-03-13 07:53:44",243,243,1,60,731.73,"2020-12-04 00:00:00","2018-09-04 00:00:00",1,"Accepted",243,97,97,"Product 97","Product description 97",47,154.25,"Product-97",7,7,"Category 7","Category 7 description."
