"user_id","email","'password'","first_name","last_name","middle_name","is_staft","country","city","adress","carts_id","users_user_id","subtotal","total","'timestamp'","order_id","carts_cart_id","order_status_order_status_id","shipping_total","total-2","created_at","updated_at","order_status_id","status_name","carts_cart_id-2","products_product_id","product_id","product_title","product_description","in_stock","price","slug","category_id","category_id-2","category_title","category_description"
1,"email1@gmail.com","84204057691","first_name 1","last_name 1","middle_name 1",0,"country 1","city 1","address 1",1,1,434.35,434.35,"2021-03-13 07:53:43",1,1,5,60,434.35,"2020-04-13 00:00:00","2018-11-19 00:00:00",5,"Canceled",1,3943,3943,"Product 3943","Product description 3943",13,13.46,"Product-3943",2,2,"Category 2","Category 2 description."
1,"email1@gmail.com","84204057691","first_name 1","last_name 1","middle_name 1",0,"country 1","city 1","address 1",1,1,434.35,434.35,"2021-03-13 07:53:43",1,1,5,60,434.35,"2020-04-13 00:00:00","2018-11-19 00:00:00",5,"Canceled",1,3798,3798,"Product 3798","Product description 3798",38,139.13,"Product-3798",9,9,"Category 9","Category 9 description."
1,"email1@gmail.com","84204057691","first_name 1","last_name 1","middle_name 1",0,"country 1","city 1","address 1",1,1,434.35,434.35,"2021-03-13 07:53:43",1,1,5,60,434.35,"2020-04-13 00:00:00","2018-11-19 00:00:00",5,"Canceled",1,3904,3904,"Product 3904","Product description 3904",29,94.88,"Product-3904",9,9,"Category 9","Category 9 description."
1,"email1@gmail.com","84204057691","first_name 1","last_name 1","middle_name 1",0,"country 1","city 1","address 1",1,1,434.35,434.35,"2021-03-13 07:53:43",1,1,5,60,434.35,"2020-04-13 00:00:00","2018-11-19 00:00:00",5,"Canceled",1,1623,1623,"Product 1623","Product description 1623",10,60.84,"Product-1623",10,10,"Category 10","Category 10 description."
1,"email1@gmail.com","84204057691","first_name 1","last_name 1","middle_name 1",0,"country 1","city 1","address 1",1,1,434.35,434.35,"2021-03-13 07:53:43",1,1,5,60,434.35,"2020-04-13 00:00:00","2018-11-19 00:00:00",5,"Canceled",1,1731,1731,"Product 1731","Product description 1731",30,126.04,"Product-1731",20,20,"Category 20","Category 20 description."
2,"email2@gmail.com","33619780302","first_name 2","last_name 2","middle_name 2",0,"country 2","city 2","address 2",2,2,1010.87,1010.87,"2021-03-13 07:53:43",2,2,2,60,1010.87,"2018-12-28 00:00:00","2020-02-14 00:00:00",2,"In progress",2,869,869,"Product 869","Product description 869",18,176.33,"Product-869",11,11,"Category 11","Category 11 description."
2,"email2@gmail.com","33619780302","first_name 2","last_name 2","middle_name 2",0,"country 2","city 2","address 2",2,2,1010.87,1010.87,"2021-03-13 07:53:43",2,2,2,60,1010.87,"2018-12-28 00:00:00","2020-02-14 00:00:00",2,"In progress",2,1487,1487,"Product 1487","Product description 1487",32,179.84,"Product-1487",6,6,"Category 6","Category 6 description."
2,"email2@gmail.com","33619780302","first_name 2","last_name 2","middle_name 2",0,"country 2","city 2","address 2",2,2,1010.87,1010.87,"2021-03-13 07:53:43",2,2,2,60,1010.87,"2018-12-28 00:00:00","2020-02-14 00:00:00",2,"In progress",2,2607,2607,"Product 2607","Product description 2607",5,149.48,"Product-2607",6,6,"Category 6","Category 6 description."
2,"email2@gmail.com","33619780302","first_name 2","last_name 2","middle_name 2",0,"country 2","city 2","address 2",2,2,1010.87,1010.87,"2021-03-13 07:53:43",2,2,2,60,1010.87,"2018-12-28 00:00:00","2020-02-14 00:00:00",2,"In progress",2,3871,3871,"Product 3871","Product description 3871",27,193.02,"Product-3871",15,15,"Category 15","Category 15 description."
2,"email2@gmail.com","33619780302","first_name 2","last_name 2","middle_name 2",0,"country 2","city 2","address 2",2,2,1010.87,1010.87,"2021-03-13 07:53:43",2,2,2,60,1010.87,"2018-12-28 00:00:00","2020-02-14 00:00:00",2,"In progress",2,2678,2678,"Product 2678","Product description 2678",27,191.01,"Product-2678",7,7,"Category 7","Category 7 description."
2,"email2@gmail.com","33619780302","first_name 2","last_name 2","middle_name 2",0,"country 2","city 2","address 2",2,2,1010.87,1010.87,"2021-03-13 07:53:43",2,2,2,60,1010.87,"2018-12-28 00:00:00","2020-02-14 00:00:00",2,"In progress",2,1432,1432,"Product 1432","Product description 1432",37,16.87,"Product-1432",14,14,"Category 14","Category 14 description."
2,"email2@gmail.com","33619780302","first_name 2","last_name 2","middle_name 2",0,"country 2","city 2","address 2",2,2,1010.87,1010.87,"2021-03-13 07:53:43",2,2,2,60,1010.87,"2018-12-28 00:00:00","2020-02-14 00:00:00",2,"In progress",2,3982,3982,"Product 3982","Product description 3982",27,104.32,"Product-3982",9,9,"Category 9","Category 9 description."
